sku,name,category,price,currency,marketplace,inventory_level
PROD-001,Wireless Mouse,Electronics,29.99,USD,amazon,150
PROD-002,USB-C Cable,Electronics,12.99,USD,amazon,300
PROD-003,Laptop Stand,Office,45.99,USD,amazon,75
PROD-004,Mechanical Keyboard,Electronics,89.99,USD,ebay,50
PROD-005,Desk Lamp,Office,34.99,USD,amazon,120
PROD-006,Phone Case,Accessories,15.99,USD,amazon,200
PROD-007,Bluetooth Speaker,Electronics,59.99,USD,ebay,80
PROD-008,Notebook Set,Office,19.99,USD,amazon,250
PROD-009,Webcam HD,Electronics,79.99,USD,amazon,60
PROD-010,Monitor Arm,Office,99.99,USD,ebay,40
